id,level,area,tags,question,option_a,option_b,option_c,option_d,option_e,correct_option,explanation_correct,source_url,review_note,mcq_only
OA-001,Beginner,Open Access,open-access-models,"In open access publishing, what is 'gold' open access?",Depositing an accepted manuscript in an institutional repository to make it freely readable,A ranking tier awarded to journals based on their overall prestige and cost,Paying a fee directly to the publisher in order to read a single article,Publishing in an open access journal where the version of record is immediately free to read,Access that is restricted only to readers holding a special gold-tier subscription,d,"Gold open access means the final version of record is made openly available directly by the journal, often (though not always) funded by an article processing charge.",https://legacy.earlham.edu/~peters/fos/overview.htm,checked,
OA-002,Beginner,Open Access,open-access-models; repositories,What is 'green' open access?,Paying an article processing charge directly to the publishing journal,A specific type of Creative Commons license applied only to green content,Access to the article that automatically expires after exactly one year,Self-archiving a copy of the article in a repository,Publishing exclusively in journals that focus on environmental themes,d,"Green open access refers to self-archiving a version of a work (often the author accepted manuscript) in an institutional or subject repository, providing free access without necessarily paying a fee.",https://legacy.earlham.edu/~peters/fos/overview.htm,checked,
OA-003,Beginner,Open Access,open-access-models,"The 2002 statement widely credited with an early, influential definition of 'open access' is the:",Budapest Open Access Initiative,Plan S,Leiden Manifesto,San Francisco Declaration on Research Assessment,Barcelona Declaration,a,The Budapest Open Access Initiative (February 2002) gave one of the first and most influential definitions of open access and named two strategies: self-archiving and open access journals.,https://www.budapestopenaccessinitiative.org/read/,checked,
OA-004,Intermediate,Open Access,repositories,What is the difference between an 'author accepted manuscript' (AAM) and the 'version of record' (VoR)?,"The version of record is always, by definition, simply an early preprint of the work",The AAM is peer-reviewed but not publisher-formatted; the VoR is the final formatted version,They are functionally identical versions with no meaningful difference between them,The AAM is the very first draft written before any peer review; the VoR is that same AAM,"The AAM designation applies only to datasets, never to journal articles themselves",b,"NISO's Journal Article Versions standard defines the AAM (Accepted Manuscript) as the version that has passed peer review and been accepted, but before the publisher's copyediting, typesetting, and formatting. The VoR (Version of Record) is the final, formatted, publisher-issued version. Green OA policies often permit sharing the AAM, since it captures the peer-reviewed content without reproducing the publisher's formatted layout.",https://www.niso.org/publications/niso-rp-8-2008-jav,checked,
OA-005,Intermediate,Open Access,open-access-models; publishing-economics,Diamond' (or 'platinum') open access is best described as:,Access to journal content that is limited only to readers holding premium subscriptions,"Journals that are free to read and free to publish in, with no author-facing charges",Open access journals that charge unusually high article processing charges to authors,The practice of self-archiving a manuscript in green open access after an embargo period,A hybrid journal model that mixes subscription access with paid open access options,b,"Diamond (platinum) open access journals levy no charges on either readers or authors, and are typically run by universities, societies, or scholar-led groups with in-kind or grant support.",https://www.coalition-s.org/diamond-open-access/,checked,
OA-006,Intermediate,Open Access,open-access-models; publishing-economics,"In a 'hybrid' open access journal, what does the model involve?",A subscription journal offering paid open access to individual articles,A repository that combines elements of both the green and gold OA routes,A journal that mixes together preprints and raw research datasets,A journal that alternates between fully open and fully closed issues,A journal that is entirely open access and charges no fees at all,a,"A hybrid journal is fundamentally a subscription journal, its main revenue still comes from reader/institutional subscriptions, but it also lets authors pay a surcharge (similar to a gold OA APC, often around $3,000) to make their individual article freely available immediately, while the rest of the journal stays behind the paywall. Because of this cost, uptake has historically been low, on average, only a couple of percent of eligible articles in a given hybrid journal actually go OA this way.",https://peerj.com/articles/3878/,checked,
OA-007,Expert,Open Access,open-access-models,Bronze' open access is distinguished from gold and green primarily because:,It is published in a journal formally indexed in the Directory of Open Access Journals (DOAJ),The article is free to read on the publisher's site but has no clear license information,It always requires the manuscript to be deposited in an institutional repository,It requires authors to pay the article processing charge (APC),It is a designation that applies only to monographs and other long-form books,b,"Bronze OA describes articles free to read on the publisher's website but carrying no explicit open license, meaning reuse rights are undefined and the free access can be removed at the publisher's discretion.",https://peerj.com/articles/4375/,checked,
OA-008,Expert,Open Access,rights-retention; policy-compliance,What problem does cOAlition S's Rights Retention Strategy aim to solve?,The problem of the same study being published more than once in duplicate,The problem of peer review taking an unusually long time to complete,The high cost that article processing charges impose on authors and their funders,Publisher embargoes that would otherwise block immediate green open access,The lack of persistent identifiers such as DOIs for published journal articles,d,"The Rights Retention Strategy has funders require grantees to attach a CC BY license (via a prior obligation) to their author accepted manuscripts, so authors can make them openly available immediately regardless of publisher embargo terms.",https://www.coalition-s.org/rights-retention-strategy/,checked,
OA-009,Expert,Open Access,policy-compliance; publishing-economics,Why did cOAlition S announce it would stop financially supporting 'transformative arrangements' (transformative agreements and transformative journals)?,"Because continuing to fund them indefinitely risked entrenching hybrid open access permanently, rather than completing the transition to full open access",Because independent audits found that none of the transformative agreements had increased the share of open-access content,Because publishers had stopped renewing transformative agreements with libraries and consortia,Because the European Commission mandated cOAlition S to redirect its funding toward a different initiative,Because transformative arrangements were found to violate the Rights Retention Strategy,a,"cOAlition S was explicit that transformative arrangements were always meant to be temporary, transitional tools. Continuing to fund them past their original timeframe risked letting hybrid open access become a permanent fixture rather than a bridge to full and immediate OA, which cOAlition S has consistently opposed. Instead, funders redirected support toward more innovative, community-led open access initiatives aimed at completing the transition faster.",https://www.coalition-s.org/coalition-s-confirms-the-end-of-its-financial-support-for-open-access-publishing-under-transformative-arrangements-after-2024/,checked,
OA-010,Beginner,Open Access,licensing,What does a Creative Commons 'CC BY' license require of someone reusing the work?,They must pay a licensing fee before being permitted to reuse the work,They may not use the reused work for any commercial purpose,They must give appropriate credit (attribution) to the creator,They may not make any changes or create adaptations of the work,They must share the reused work only with enrolled students,c,"CC BY (Attribution) is the most permissive Creative Commons license: reusers may copy, adapt, and redistribute the work, including commercially, provided they give appropriate credit to the creator.",https://creativecommons.org/licenses/by/4.0/,checked,
